insertId,jsonPayload.apiVersion,jsonPayload.eventTime,jsonPayload.involvedObject.apiVersion,jsonPayload.involvedObject.fieldPath,jsonPayload.involvedObject.kind,jsonPayload.involvedObject.name,jsonPayload.involvedObject.namespace,jsonPayload.involvedObject.resourceVersion,jsonPayload.involvedObject.uid,jsonPayload.kind,jsonPayload.message,jsonPayload.metadata.creationTimestamp,jsonPayload.metadata.managedFields,jsonPayload.metadata.name,jsonPayload.metadata.namespace,jsonPayload.metadata.resourceVersion,jsonPayload.metadata.selfLink,jsonPayload.metadata.uid,jsonPayload.reason,jsonPayload.reportingComponent,jsonPayload.reportingInstance,jsonPayload.source.component,jsonPayload.source.host,jsonPayload.type,logName,receiveTimestamp,resource.labels.cluster_name,resource.labels.location,resource.labels.namespace_name,resource.labels.pod_name,resource.labels.project_id,resource.type,severity,timestamp
dbwv5vfokx3z9,v1,,v1,spec.containers{hello-app},Pod,node-gke-57dd7b88b9-wlwzv,default,13531,288c0716-57b4-49dd-be31-fca40eb90c47,Event,Created container hello-app,2021-04-30T01:41:22Z,[object Object],node-gke-57dd7b88b9-wlwzv.167a7f358a0dd659,default,471,/api/v1/namespaces/default/events/node-gke-57dd7b88b9-wlwzv.167a7f358a0dd659,cde39d25-32ff-4b2a-ac7e-c3fbc20acd2d,Created,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,default,node-gke-57dd7b88b9-wlwzv,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:23Z
dbwv5vfokx3z7,v1,,v1,spec.containers{hello-app},Pod,node-gke-57dd7b88b9-wlwzv,default,13531,288c0716-57b4-49dd-be31-fca40eb90c47,Event,"Successfully pulled image ""gcr.io/kubernetes-start-310009/helloworld-gke:latest""",2021-04-30T01:41:21Z,[object Object],node-gke-57dd7b88b9-wlwzv.167a7f353b3add2b,default,469,/api/v1/namespaces/default/events/node-gke-57dd7b88b9-wlwzv.167a7f353b3add2b,2723a266-cbee-4b78-9a12-dfb16c140688,Pulled,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,default,node-gke-57dd7b88b9-wlwzv,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:22Z
dbwv5vfokx3z6,v1,,v1,spec.containers{fluentbit-gke},Pod,fluentbit-gke-78sgh,kube-system,13528,bc5b1b19-a2b8-470d-98cd-6b51390fdb37,Event,"Pulling image ""gke.gcr.io/fluent-bit-gke-exporter:v0.14.2-gke.0""",2021-04-30T01:41:14Z,[object Object],fluentbit-gke-78sgh.167a7f3391e9d74f,kube-system,468,/api/v1/namespaces/kube-system/events/fluentbit-gke-78sgh.167a7f3391e9d74f,24d85240-9e18-4f6d-ac15-854a938b4547,Pulling,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,fluentbit-gke-78sgh,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:15Z
dbwv5vfokx3z5,v1,,v1,spec.containers{fluentbit},Pod,fluentbit-gke-78sgh,kube-system,13528,bc5b1b19-a2b8-470d-98cd-6b51390fdb37,Event,Started container fluentbit,2021-04-30T01:41:14Z,[object Object],fluentbit-gke-78sgh.167a7f3391cde38a,kube-system,467,/api/v1/namespaces/kube-system/events/fluentbit-gke-78sgh.167a7f3391cde38a,4b1fc942-c848-4c90-afc2-b80da08af29d,Started,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,fluentbit-gke-78sgh,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:15Z
dbwv5vfokx3z4,v1,,v1,spec.containers{fluentbit},Pod,fluentbit-gke-78sgh,kube-system,13528,bc5b1b19-a2b8-470d-98cd-6b51390fdb37,Event,Created container fluentbit,2021-04-30T01:41:14Z,[object Object],fluentbit-gke-78sgh.167a7f338b0e5ae3,kube-system,466,/api/v1/namespaces/kube-system/events/fluentbit-gke-78sgh.167a7f338b0e5ae3,aa8a7e6c-57bd-464c-b424-30d08b30a13e,Created,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,fluentbit-gke-78sgh,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:15Z
dbwv5vfokx3z3,v1,,v1,spec.containers{fluentbit},Pod,fluentbit-gke-78sgh,kube-system,13528,bc5b1b19-a2b8-470d-98cd-6b51390fdb37,Event,"Successfully pulled image ""gke.gcr.io/fluent-bit:v1.3.11-gke.0""",2021-04-30T01:41:13Z,[object Object],fluentbit-gke-78sgh.167a7f336f785bbb,kube-system,465,/api/v1/namespaces/kube-system/events/fluentbit-gke-78sgh.167a7f336f785bbb,d43aab14-920e-4b7a-90ca-f261e75ca234,Pulled,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,fluentbit-gke-78sgh,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:14Z
dbwv5vfokx3z1,v1,,v1,spec.containers{gce-pd-driver},Pod,pdcsi-node-n4vnt,kube-system,13522,b4dc2126-2d28-4804-aaaa-5b407fb39095,Event,"Pulling image ""gke.gcr.io/gcp-compute-persistent-disk-csi-driver:v1.0.1-gke.0""",2021-04-30T01:41:08Z,[object Object],pdcsi-node-n4vnt.167a7f3244fc7bf4,kube-system,463,/api/v1/namespaces/kube-system/events/pdcsi-node-n4vnt.167a7f3244fc7bf4,01d11d0a-698c-4fa7-870f-1547dfd7511e,Pulling,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,pdcsi-node-n4vnt,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:09Z
dbwv5vfokx3z0,v1,,v1,spec.containers{csi-driver-registrar},Pod,pdcsi-node-n4vnt,kube-system,13522,b4dc2126-2d28-4804-aaaa-5b407fb39095,Event,Started container csi-driver-registrar,2021-04-30T01:41:08Z,[object Object],pdcsi-node-n4vnt.167a7f3244e3c3be,kube-system,462,/api/v1/namespaces/kube-system/events/pdcsi-node-n4vnt.167a7f3244e3c3be,fcd69b8e-fc99-4f4e-9da6-d86786509360,Started,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,pdcsi-node-n4vnt,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:09Z
dbwv5vfokx3yz,v1,,v1,spec.containers{metrics-server-nanny},Pod,metrics-server-v0.3.6-7b5cdbcbb8-xqwc5,kube-system,13518,b0f25404-f3f4-47a8-896c-f2e11cdc7999,Event,Started container metrics-server-nanny,2021-04-30T01:41:08Z,[object Object],metrics-server-v0.3.6-7b5cdbcbb8-xqwc5.167a7f32412c940b,kube-system,461,/api/v1/namespaces/kube-system/events/metrics-server-v0.3.6-7b5cdbcbb8-xqwc5.167a7f32412c940b,5c395fd5-5ddb-467a-a020-301a02c7827d,Started,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,metrics-server-v0.3.6-7b5cdbcbb8-xqwc5,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:09Z
dbwv5vfokx3yy,v1,,v1,spec.containers{csi-driver-registrar},Pod,pdcsi-node-n4vnt,kube-system,13522,b4dc2126-2d28-4804-aaaa-5b407fb39095,Event,Created container csi-driver-registrar,2021-04-30T01:41:08Z,[object Object],pdcsi-node-n4vnt.167a7f323d5d9bbc,kube-system,460,/api/v1/namespaces/kube-system/events/pdcsi-node-n4vnt.167a7f323d5d9bbc,dea3ed83-f79f-4395-bad9-73b1f54160e2,Created,,,kubelet,gke-nodecluster-default-pool-9c283c38-qbp9,Normal,projects/kubernetes-start-310009/logs/events,2021-04-30T01:43:01.332099845Z,nodecluster,asia-southeast1-a,kube-system,pdcsi-node-n4vnt,kubernetes-start-310009,k8s_pod,INFO,2021-04-30T01:41:09Z
